,course_title,price,num_subscribers,num_reviews,num_lectures,content_duration,published_date,subject,Beginner Level,Expert Level,Intermediate Level
936,Financial Accounting For Beginners,60,164,3,22,1.5,2016-09-25,Business Finance,0,0,0
937,Trading: How Transformative Learning Drives Expertise,30,69,2,16,1.0,2013-07-15,Business Finance,0,0,0
938,Manual Bookkeeping,20,28,2,26,2.5,2015-07-24,Business Finance,0,0,1
939,Numeracy skills in business and everyday life:Think and Deal,20,90,4,15,0.6333333333333333,2016-10-11,Business Finance,1,0,0
940,Financial Modelling in Excel Step by Step,20,13,2,17,1.5,2016-05-05,Business Finance,0,0,1
941,Straight From Business School: Create Financial Statements,20,31,2,5,1.0,2013-11-28,Business Finance,1,0,0
942,How To Pay Less Tax (UK version),50,13,2,98,0.5166666666666666,2016-01-19,Business Finance,0,0,0
943,Interpreting financial statements,0,2119,111,54,2.0,2015-10-28,Business Finance,0,0,0
944,Forex trading with binary options,25,136,28,21,3.0,2016-05-16,Business Finance,0,0,0
945,Triple P Trading Course,20,797,15,16,3.0,2013-12-24,Business Finance,0,0,0
946,Cost Accounting - A Comprehensive Study,180,503,43,286,29.5,2015-04-26,Business Finance,0,0,0
947,How to become a successful day trader,95,1150,6,27,2.5,2015-05-25,Business Finance,0,0,0
948,Essentials of Finance and Investment in 2 hours,20,1403,6,14,2.0,2015-06-01,Business Finance,1,0,0
949,Public Speaking: You Can Give Great Financial Presentations,20,916,6,23,6.5,2014-12-11,Business Finance,0,0,0
950,Professional Trading - Consistent Profits with Low Risk!,20,627,5,27,1.0,2015-10-17,Business Finance,0,0,0
951,Trading for winning,200,168,7,27,2.0,2017-01-23,Business Finance,0,0,0
952,Succeed in Stocks Even if you Don't Know Where to Start,0,2554,20,10,1.0,2017-03-09,Business Finance,1,0,0
953,Options Basics & Trading With Small Capital! - Level 1,30,120,17,19,2.0,2016-07-26,Business Finance,1,0,0
954,Forex trading Basic to advance Professional Level course,20,750,13,28,2.5,2016-05-05,Business Finance,0,0,0
955,Day Trading in Stocks: Strategies for Beginner Investors,50,217,19,9,2.0,2015-01-08,Business Finance,0,0,0
956,Learn to Trade Forex Big U-Turn Trade,50,106,13,12,1.0,2016-02-24,Business Finance,1,0,0
957,"Technical Analysis Primer for trading Stocks, Bonds & Forex",50,397,4,36,3.0,2015-11-23,Business Finance,1,0,0
958,DIY: Reduce Unpaid Federal Tax thru  IRS Offer in Compromise,20,44,3,8,1.0,2015-03-26,Business Finance,0,0,0
959,Stock Trading with this Strategy,50,30,3,6,1.0,2015-08-13,Business Finance,0,0,0
960,The Psychology of Trading,20,95,3,20,1.0,2017-02-02,Business Finance,0,0,0
961,Professional Forex Strategy+2 weeks for FREE trading alerts,95,55,9,15,1.0,2016-03-29,Business Finance,0,0,0
962,Stock Trading Essentials for Day Traders,100,94,15,9,1.0,2015-01-08,Business Finance,0,0,0
963,Basics of Finance and Budgeting,20,578,7,34,6.0,2014-05-19,Business Finance,1,0,0
964,Portfolio Management CFA L1 2016,20,393,5,34,5.0,2015-09-15,Business Finance,0,0,0
965,"Trade Stocks, Forex & Financial Markets like a Professional",20,116,6,12,3.0,2014-08-28,Business Finance,0,0,0
966,The Tax Advantaged Investor: A Guide to Legal Tax Reduction!,0,1888,42,25,2.0,2015-12-17,Business Finance,0,0,0
967,The Smart Option Trader,45,412,19,74,13.0,2013-10-10,Business Finance,0,0,0
968,Beginners Chart Patterns Trading for Penny Stocks,200,40,7,26,1.5,2017-02-22,Business Finance,1,0,0
969,Financial Statements: Learn Accounting. Unlock the Numbers.,40,222,12,35,3.0,2016-02-17,Business Finance,1,0,0
970,CFA® Level 1 2014 – Alternative Investments,30,831,1,13,2.0,2014-04-14,Business Finance,0,0,0
971,Interest Rate Swaps,50,485,24,20,3.5,2014-03-11,Business Finance,0,0,0
972,Financial Modelling for entrepreneurs,20,232,7,17,1.0,2014-09-20,Business Finance,0,0,0
973,Economics - CFA Level 1 - 2014,20,135,20,24,4.0,2014-11-08,Business Finance,1,0,0
974,Bookkeeping Made Simple,40,61,16,22,2.5,2015-07-16,Business Finance,0,0,0
975,What is Bitcoin,20,61,3,27,5.0,2015-07-09,Business Finance,0,0,0
976,Accounting for CA CPT Exams Part I,50,874,2,120,13.5,2014-12-27,Business Finance,0,0,0
977,Raising Capital for Your Business,50,22,5,60,2.5,2015-08-03,Business Finance,0,0,0
978,"Silver, Gold, and Inflation",0,5597,76,11,1.0,2013-02-16,Business Finance,1,0,0
979,Accounting Concepts For Technocrats,20,261,2,35,2.5,2013-12-26,Business Finance,1,0,0
980,Beginner Financial Analysis: Invest Like Warren Buffett,50,83,4,19,0.6833333333333333,2014-03-10,Business Finance,1,0,0
981,Advance Technical Analysis,50,152,6,14,3.5,2015-04-08,Business Finance,0,1,0
982,The Everyday Investor: Building Wealth with Venture Capital,20,176,2,12,2.5,2016-06-07,Business Finance,0,0,1
983,QuickBooks Online : Inventory Management For Non-Finance,35,8,4,10,0.6666666666666666,2017-04-20,Business Finance,0,0,0
984,Law Matters,20,327,1,12,0.45,2015-03-27,Business Finance,1,0,0
985,Learn to Trade for Profit: Finding Winning Stocks - Chinese,95,264,0,79,3.0,2015-10-08,Business Finance,0,0,0
986,Financial Accounting Part 2 - Passing The Class,20,15,4,36,4.5,2017-05-01,Business Finance,1,0,0
987,Simple Options Trading System,35,104,2,16,1.5,2014-07-31,Business Finance,0,0,1
988,Investments and Financial Markets,40,71,3,19,1.5,2014-07-22,Business Finance,1,0,0
989,Legal Accounting,110,26,6,49,4.0,2014-09-21,Business Finance,0,0,0
990,"Term Loan Appraisal for bankers, credit analysts",20,11,2,28,6.5,2017-04-03,Business Finance,1,0,0
991,Small Biz Doers' Guide to Small Biz Accounting + Bookkeeping,20,1294,7,58,5.5,2013-08-28,Business Finance,1,0,0
992,Trade Show Samurai,95,32,7,7,0.5166666666666666,2013-08-29,Business Finance,0,0,0
993,Forex Harmonic Trading- With Multiple Forex Chart Examples,135,313,16,25,2.5,2016-11-28,Business Finance,0,0,0
994,The Cost of Capital: The Key To Attract Venture Capitalists,50,635,4,6,0.6833333333333333,2016-03-22,Business Finance,0,0,0
995,Accounting for School Students,30,1311,2,12,1.5,2015-05-22,Business Finance,0,0,0
996,Learn To Trade The Forex Naked Price Action Acapulco Trade,70,288,9,13,1.0,2016-01-25,Business Finance,0,0,1
997,Certificate in MYOB AccountRight Premier 2017 Course,200,97,18,29,3.0,2016-03-10,Business Finance,0,0,0
998,Master The Psychology of Forex & Binary Options Trading,20,53,16,7,1.0,2016-07-04,Business Finance,0,0,1
999,Learn to Pick the Right Stock Broker Account,40,1102,3,14,0.5666666666666667,2014-12-24,Business Finance,1,0,0
1000,Profit During Crashing Markets: A Step-by-Step Guide,195,57,11,18,1.0,2016-05-16,Business Finance,0,0,0
1001,Introduction to Futures & Options,50,694,35,27,4.5,2014-03-11,Business Finance,0,0,0
1002,Learn To Invest In 7 Steps,50,137,14,21,3.0,2015-03-29,Business Finance,1,0,0
1003,Sell like a Pro: Insider Secrets of Successful Selling!,115,12,1,25,2.5,2016-11-01,Business Finance,0,0,0
1004,3 Little Pigs: A Multiple Timeframe Forex Trading Strategy,20,18,0,6,1.5,2017-02-24,Business Finance,0,0,0
1005,6. Annuities Due and Deferred,20,170,0,16,1.5,2014-02-24,Business Finance,0,0,0
1006,CFA® Level 1 2014 – Quantitative Methods,50,119,0,27,5.0,2015-02-26,Business Finance,0,0,0
1007,IFRIC 13-Customer Loyalty Programmes (Revenue),0,2058,22,6,0.6,2014-07-05,Business Finance,0,0,0
1008,FOREX Currency Trading For Beginners,25,35,2,28,4.0,2014-06-17,Business Finance,1,0,0
1009,Basic Technical Analysis,50,40,1,27,2.5,2015-08-05,Business Finance,1,0,0
1010,Forex:Trade Management & Psychology,150,13,0,19,2.0,2016-09-21,Business Finance,0,0,1
1011,"Working Capital assessment for bankers, credit analysts",20,4,0,29,7.0,2017-04-06,Business Finance,1,0,0
1012,"CFA Level I Workshop 6: Alternatives, PM and Economics ",20,71,1,5,1.0,2013-08-12,Business Finance,0,0,0
1013,CFA Level I Workshop 3: Financial Reporting & Analysis II,20,71,1,5,1.0,2013-08-12,Business Finance,0,0,0
1014,How to trade in the Forex market,200,6,0,39,2.5,2017-03-29,Business Finance,0,0,1
1015,Bookkeeping Practicals with Software,35,1,0,130,31.5,2017-02-07,Business Finance,0,0,1
1016,8 Steps To Achieve Financial Freedom And Escape Debt,40,5,0,48,5.5,2015-11-13,Business Finance,1,0,0
1017,Trading Basics in 30 minutes,50,1,0,6,0.5333333333333333,2017-02-26,Business Finance,1,0,0
1018,Technical Charting,20,4,1,6,1.0,2015-11-02,Business Finance,0,0,1
1019,Profits Turbo,20,10,0,7,5.5,2013-06-03,Business Finance,0,0,1
1020,Nest Egg Investing,45,6,0,12,2.0,2014-06-27,Business Finance,1,0,0
1021,Economics for beginners - Various Concepts,25,2,0,34,2.5,2017-01-02,Business Finance,1,0,0
1022,Investing in Stocks & Shares,20,2,0,24,2.0,2016-05-23,Business Finance,1,0,0
1023,Learn Financial Modeling from Scratch - Part 2,50,2,1,27,3.5,2016-04-07,Business Finance,0,0,0
1024,Learn Financial Modeling from Scratch - Part 3,50,2,0,22,2.0,2016-04-07,Business Finance,0,0,0
1025,A Practical Guide to Wealth Creation,35,6,0,7,1.0,2016-11-18,Business Finance,0,0,0
1026,"'Geometry Of Chance strategy of defeating the roulette.""",30,2,1,10,1.5,2016-06-28,Business Finance,0,0,1
1027,Trading Algorítmico en Forex: Crea tu primer Robot de Forex!,170,206,39,39,6.5,2016-03-12,Business Finance,0,0,0
1028,MQL4 Bootcamp Tutorial- Trading Robot Coding in Metatrader4,20,313,14,25,1.0,2015-07-05,Business Finance,1,0,0
1029,Introducción a la contabilidad,20,193,19,14,1.0,2014-12-17,Business Finance,1,0,0
1030,Einnahmen aus Udemy-Kursen als Dozent korrekt versteuern,30,66,16,11,1.0,2015-04-09,Business Finance,1,0,0
1031,Contabilidad Gubernamental en México,30,270,22,24,3.5,2015-08-14,Business Finance,0,0,0
1032,株式投資に必要なスキルの学習手順を学ぶ,20,139,36,29,2.0,2016-06-09,Business Finance,1,0,0
1033,Formação de preços em serviços,35,77,5,28,2.0,2017-04-26,Business Finance,0,0,1
1034,"Geld verdienen mit dem Ticken der Uhr, wie Warren Buffett!",195,225,41,33,5.0,2016-03-30,Business Finance,0,0,0
1035,Торговля дельта-нейтральными стренглами,150,23,6,25,1.5,2016-03-10,Business Finance,0,0,0
1036,Guía práctica para comprar acciones en la Bolsa de USA,0,4876,210,36,4.5,2014-09-11,Business Finance,0,0,1
1037,Contabilidad Financiera: Conoce el Lenguaje de los Negocios.,20,244,13,21,2.5,2015-06-16,Business Finance,1,0,0
1038,Curso de Day Trader para Iniciantes,0,1278,200,13,1.5,2016-11-03,Business Finance,1,0,0
1039,Curso de Iniciación al Trading,85,31,5,40,10.5,2015-11-26,Business Finance,0,0,0
1040,Complete GST Course For Small and Medium Enterprises,75,8,0,45,6.0,2017-06-14,Business Finance,1,0,0
1041,3 documentos clave para administrar tu empresa con éxito,45,40,6,18,1.0,2013-05-16,Business Finance,0,0,1
1042,Forex/Opciones Binarias para Principiantes,25,9,5,9,2.0,2016-04-01,Business Finance,1,0,0
1043,15 Mandamientos para ganar dinero en Bolsa,20,45,2,49,8.5,2014-10-14,Business Finance,0,0,0
1044,Le bitcoin et la blockchain,80,13,3,12,0.7333333333333333,2017-03-13,Business Finance,0,0,0
1045,Contabilità Generale,200,4,1,40,8.5,2017-05-29,Business Finance,0,0,0
1046,Торговля опционами: Как заработать на волатильности,150,20,5,29,2.0,2016-02-25,Business Finance,0,0,0
1047,Estrategias de Inversión aplicadas al mundo del trading,20,9,2,25,3.0,2016-05-26,Business Finance,0,0,0
1048,バイナリーオプション取引,85,29,3,24,0.65,2016-11-28,Business Finance,0,0,0
1049,Caza los Enormes Movimientos del Mercado,20,6,2,13,1.5,2015-11-12,Business Finance,0,0,0
1050,Le basi del trading online,45,7,1,27,3.5,2017-05-31,Business Finance,1,0,0
1051,自分に合った投資信託を見つけよう！,25,859,49,23,2.0,2017-03-31,Business Finance,1,0,0
1052,Monatlich Geld anlegen für später!,30,5983,135,7,0.6166666666666667,2015-10-06,Business Finance,1,0,0
1053,Invierte en la Bolsa Mexicana y de USA,200,1673,547,40,5.5,2015-08-10,Business Finance,1,0,0
1054,Gestão Financeira Para Pequenas e Médias Empresas,115,1284,230,45,4.5,2016-01-29,Business Finance,0,0,0
1055,Curso Completo de Bitcoin - Ganhe 0.00005 Bitcoin,30,394,109,73,5.5,2017-02-06,Business Finance,0,0,0
1056,Tudo sobre Investimentos em Renda Fixa,45,689,145,16,2.0,2016-08-22,Business Finance,0,0,0
1057,Aprende a invertir sin capital,130,649,37,29,1.5,2017-05-01,Business Finance,1,0,0
1058,Apprendre à trader sur le marché du Forex - guide complet,140,187,47,38,3.0,2017-03-07,Business Finance,1,0,0
1059,Introducción a las Finanzas,30,1798,40,15,1.5,2015-01-27,Business Finance,1,0,0
1060,Finanzielle Unabhängigkeit-1: Erste Schritte zur Million,20,465,51,28,1.0,2016-09-12,Business Finance,1,0,0
1061,Forex para Principiantes-Ejemplos en VIVO de Trading Real,140,813,94,52,5.0,2015-10-05,Business Finance,1,0,0
1062,Finanzielle Unabhängigkeit-3 Millionär werden mit Immobilien,20,326,23,14,1.0,2016-09-12,Business Finance,0,1,0
1063,Introduction to Health Financing,85,26,1,17,2.0,2016-05-17,Business Finance,1,0,0
1064,Accounting Cycle: Learn the concepts in 60 minutes,20,26,3,14,1.0,2016-01-26,Business Finance,0,0,0
1065,Optimize! Make Best Decisions with Microsoft Excel,20,28,3,14,1.0,2015-04-01,Business Finance,0,1,0
1066,Understanding The Stock Market: For Beginners,25,122,2,36,7.5,2014-11-18,Business Finance,1,0,0
1067,CFA® Level 1 2014 – FI,40,149,0,49,4.5,2015-03-08,Business Finance,0,0,0
1068,9. Sinking Funds,20,205,1,5,1.0,2014-02-11,Business Finance,0,0,0
1069,Managerial Accounting - The Ultimate Beginner Course!,100,11,0,121,11.0,2017-04-13,Business Finance,1,0,0
1070,Forex Trading for Beginners Vol 1:A Forex Course Made Simple,175,3,0,27,1.0,2017-07-04,Business Finance,1,0,0
1071,Accounting - Basic Costing ,40,108,2,37,3.5,2015-08-04,Business Finance,1,0,0
1072,"Double Your Salary With Free, Local, Job Training Courses",20,8,1,8,1.0,2017-04-17,Business Finance,0,0,0
1073,Financial Modeling - Facebook Case Study,25,9,3,13,1.5,2013-10-02,Business Finance,0,0,0
1074,Understanding Financial Derivatives,20,16,1,11,2.0,2017-03-24,Business Finance,0,0,1
1075,Forex Basics: Learn how to read and analyze Forex charts,195,11,0,45,4.5,2016-09-22,Business Finance,1,0,0
1076,Forex - Help I cant Trade,200,12,0,20,2.0,2016-10-18,Business Finance,0,0,0
1077,Start-up financial modeling for non-finance professionals,20,11,0,19,4.0,2016-06-20,Business Finance,0,0,0
1078,The Fast Route to a Faster Financial Close,50,2,0,8,1.5,2017-06-23,Business Finance,0,0,1
1079,Easy Finance For Startups,50,9,4,6,0.6666666666666666,2016-10-16,Business Finance,1,0,0
1080,"Excel 4 Accounting & Bookkeeping - Master Date,Time & Text",35,15,1,12,1.0,2016-06-27,Business Finance,0,0,0
1081,"Depreciation, Amortization and Depletion",25,7,1,13,1.0,2017-03-06,Business Finance,0,0,1
1082,Breakeven Analysis and Pricing,20,27,2,10,1.0,2014-09-22,Business Finance,0,0,0
1083,Tally ERP Complete Training in Urdu / Hindi,30,5,2,51,5.0,2017-02-02,Business Finance,0,0,0
1084,Accounting Simplified,30,3,0,41,8.5,2017-05-03,Business Finance,0,0,0
1085,Series 7: Intermediate Options,55,5,0,11,1.0,2017-04-17,Business Finance,0,0,1
1086,Accounting and Business Basics,200,5,0,10,2.0,2017-01-19,Business Finance,0,0,0
1087,Corso introduttivo al trading profittevole,20,132,9,9,1.0,2015-11-23,Business Finance,1,0,0
1088,Aprende a Ganar Dinero en la Bolsa,30,112,16,42,4.0,2013-12-11,Business Finance,0,0,0
1089,Inversión: Fundamentos del Trading para Principiantes,125,285,6,18,1.5,2015-10-26,Business Finance,1,0,0
1090,Gana en la Bolsa con Análisis Técnico,25,91,11,35,8.5,2014-01-29,Business Finance,1,0,0
1091,Precificação - Calculando valor de venda baseado nos custos,35,32,3,46,3.0,2017-04-19,Business Finance,0,0,0
1092,Cómo ganar dinero invirtiendo en bolsa,0,2740,306,10,2.0,2016-04-02,Business Finance,1,0,0
1093,Investiere in Tax Liens-Hohe Zinsen gesetzl. festgeschrieben,20,59,11,7,1.5,2015-02-25,Business Finance,0,0,0
1094,Investimento em Ações,20,16,4,27,4.5,2017-03-27,Business Finance,1,0,0
1095,Excelを使ってビジネスシミュレーション：基礎編,85,22,5,47,5.0,2017-05-18,Business Finance,1,0,0
1096,Estrategias de trading en bolsa,25,15,2,14,2.0,2016-12-10,Business Finance,0,0,0
1097,Grundlagen der finanziellen Unabhängigkeit,0,1059,96,9,1.5,2016-04-21,Business Finance,0,0,0
1098,"Wie Du, Dir auch mit kleinen Beträgen ein Vermögen aufbaust",70,187,3,53,7.0,2016-12-14,Business Finance,0,0,0
1099,Corporate Ethics,100,0,0,13,3.5,2017-07-03,Business Finance,1,0,0
1100,CFA Level 2- Quantitative Methods,40,0,0,35,5.5,2017-07-02,Business Finance,0,0,0
1101,Core Financial Statement Concepts,50,0,0,9,1.5,2017-06-28,Business Finance,0,0,1
1102,Understand Core Finance Principles in 60 Minutes,75,0,0,13,2.5,2017-06-29,Business Finance,1,0,0
1103,Learn Wave accounting to maintain books properly,0,1089,50,27,3.0,2016-01-13,Business Finance,0,0,0
1104,Making Tax Digital - UK HMRC Legislation Explained,0,743,0,7,1.0,2017-06-06,Business Finance,0,0,0
1105,Surviving Introduction to Finance,0,1362,7,13,3.0,2014-02-06,Business Finance,1,0,0
1106,Cost of Capital and Weighted Average Cost of Capital,0,405,3,22,1.0,2016-04-11,Business Finance,0,0,0
1107,Studying the CFA Program exams (Mandarin language version),0,1168,9,5,0.6666666666666666,2014-04-09,Business Finance,0,0,0
1108,Condor Broken Wing Butterfly Options Trading Course System,0,16,0,15,1.5,2017-07-06,Business Finance,0,0,0
1109,≪虎の巻≫証券取引の「税金のお悩み」解消,25,3840,296,33,1.5,2017-02-21,Business Finance,0,0,1
1110,【１日でマスター！】今日からはじめる資産形成,20,7183,819,14,1.0,2017-01-19,Business Finance,1,0,0
1111,TRADING FOR A LIVING: Trading Full-Time Transition Guide,195,483,10,40,3.5,2015-11-06,Business Finance,0,0,1
1112,Learn How To use Channels to find amazing Forex Entries,45,172,48,15,1.0,2017-05-24,Business Finance,0,0,0
1113,"Financial Analysis, from Scratch to Professional!",65,256,29,39,3.5,2016-03-06,Business Finance,1,0,0
1114,Cost Accounting Labour Costing (Professional Course Level),20,1542,1,24,2.0,2015-04-20,Business Finance,0,0,0
1115,Learn How To Successfully Trade Forex: In 5 Simple Steps,95,64,7,44,8.5,2017-05-03,Business Finance,0,0,0
1116,The Intelligent Investor,30,384,40,44,10.5,2015-08-27,Business Finance,0,0,0
1117,Succeed in Futures Even if You Don't Know Where to Start,0,3014,19,15,1.0,2017-01-03,Business Finance,0,0,0
1118,Binary Options Beginners Guide : Nadex,40,454,52,39,2.0,2015-01-09,Business Finance,1,0,0
1119,Trading: From Wall Street to Your Street,50,312,24,37,5.5,2014-12-18,Business Finance,0,0,1
1120,Build your own Naked Trading Forex Robot,40,315,28,19,2.0,2015-08-11,Business Finance,0,0,0
1121,Tax Preparation: Learn Fast! Prepare Taxes with Confidence!,200,609,32,33,2.5,2016-01-12,Business Finance,0,0,0
1122,Tax Strategies of the Wealthy,195,207,19,11,1.5,2016-04-29,Business Finance,1,0,0
1123,The Ultimate Fibonacci Trading Plan for Forex and Stocks,200,399,15,15,1.0,2016-08-19,Business Finance,0,0,0
1124,Finance and Accounting for Startups,50,1175,92,75,12.5,2013-01-15,Business Finance,0,0,0
1125,Forex - Calculate Lot Size Like Pro,20,543,14,11,0.6,2016-06-21,Business Finance,0,0,0
1126,The Complete Forex Trader,25,1634,142,46,7.0,2012-10-01,Business Finance,0,0,0
1127,Tape Reading: Learn how to read the tape for day trading,195,1013,128,32,14.0,2014-03-27,Business Finance,0,0,0
1128,4 Easy Daily Forex Trades: A Recipe for Trading Success,200,319,19,12,1.0,2016-11-17,Business Finance,0,0,0
1129,Trading Robot Forex Programs in Your Sleep in Live Examples!,200,1125,11,18,1.5,2016-01-28,Business Finance,0,1,0
1130,Free Options 101 - Basic of Call and Put Options in 1 Hours,0,2481,71,26,1.5,2016-08-22,Business Finance,0,0,0
1131,An Intro into Trading the Financial Markets,100,1006,14,17,1.5,2016-09-03,Business Finance,1,0,0
1132,Developing A Trading Strategy: Your Guide to Trading Success,20,1044,8,16,2.0,2015-12-17,Business Finance,0,0,0
1133,How to Trade Commodity and Financial Futures for a Living!,200,1240,17,20,2.5,2016-01-15,Business Finance,0,0,0
1134,How to Trade Forex like a Hedge Fund: Long FX Strategies,115,504,5,32,1.5,2017-03-23,Business Finance,0,0,0
1135,Complete Short Financial Ratio Course for Financial Analysis,200,15,1,56,3.0,2017-06-28,Business Finance,0,0,0
1136,How to Build Profitable FOREX Automated Trading Strategies!,200,358,8,21,2.5,2015-11-11,Business Finance,0,0,0
1137,Stock Trading Strategies: Profitable Trading in 7 Days.,50,80,10,27,5.5,2015-06-16,Business Finance,0,0,0
1138,Management Accounting A Complete Study,150,133,3,158,17.5,2016-12-29,Business Finance,0,0,0
1139,Become a Career Day Trader: Asian-Pacific Futures Markets,20,207,8,30,3.5,2014-01-27,Business Finance,0,0,0
1140,Equity Products,50,426,17,16,2.5,2014-03-11,Business Finance,0,0,0
1141,Financial Accounting Part I - Passing the Class,20,45,10,47,4.5,2016-06-29,Business Finance,1,0,0
1142,Accounting 102: Guide to Business Accounting,50,1280,1,27,8.5,2014-05-09,Business Finance,0,0,1
1143,Monetizing Your Website: How to Add Cost-Per-Action (CPA) ,35,142,4,18,1.0,2014-06-30,Business Finance,0,0,0
1144,Advanced Finance and Accounting for Startups,40,188,7,48,6.5,2014-02-27,Business Finance,0,0,1
1145,Basics of Tax in India  (College Level),20,718,5,28,2.0,2015-01-31,Business Finance,0,0,0
1146,Trade for a Living,20,293,14,59,8.0,2014-03-22,Business Finance,0,0,0
1147,Learn Stock Options: Options Made Simple 101,35,93,13,49,5.0,2016-08-17,Business Finance,1,0,0
1148,Banking Credit Analysis Process (for Bankers),180,894,62,241,17.5,2014-07-12,Business Finance,1,0,0
1149,Professional Forex strategy,50,353,21,17,1.5,2016-02-03,Business Finance,0,1,0
1150,A Beginners Guide to Technical Analysis of Stock Charts,40,829,78,50,8.5,2013-09-15,Business Finance,1,0,0
1151,Get out of Debt - The Power of Using Compounding Interest,50,1195,3,7,2.0,2015-01-12,Business Finance,0,0,0
1152,Day Trading - Learn to Day Trade / Swing Trade In One Hour.,95,335,25,29,1.5,2015-11-27,Business Finance,0,0,0
1153,Basel Norms (Basel 1/ Basel 2/ Basel 3) Simplified,40,500,45,34,4.0,2015-04-26,Business Finance,1,0,0
1154,Learn to Trade Forex Naked Price Action Wammie Trade,40,159,16,13,1.0,2016-02-17,Business Finance,0,0,0
1155,Fixed Income Securities,50,739,54,24,4.5,2014-03-11,Business Finance,0,0,0
1156,Financial Accounting Made Easy for All,20,87,22,86,4.0,2015-09-01,Business Finance,0,0,0
1157,Ultimate Guide To Trading Engulfing Candlestick Strategy,200,185,36,25,2.5,2016-10-25,Business Finance,0,0,0
1158,Learn Business Finance: Win more work as a Business Coach ,20,741,4,22,2.0,2016-01-03,Business Finance,1,0,0
1159,Accounting for Depreciation (Collage Level),20,576,1,14,1.0,2014-07-09,Business Finance,0,0,0
1160,Revealed: Profitable Principles of Successful Traders ,25,1046,5,26,3.0,2013-05-19,Business Finance,0,0,0
1161,Easy Market Profits: 3 Step Stock Investing Strategy,20,486,3,14,3.0,2015-09-23,Business Finance,1,0,0
1162,Hedge Fund Trading Systems For Stocks - Part One,200,52,8,21,1.5,2016-10-29,Business Finance,0,0,0
1163,Bonds For Beginners - A Guide To The Bond Markets,20,106,14,24,0.5666666666666667,2015-04-20,Business Finance,1,0,0
1164,Professional Risk Manager (PRM) Certification: Level 4,50,38,7,17,8.0,2013-07-23,Business Finance,0,0,0
1165,Crowdfunding for Filmmakers,65,32,6,30,4.0,2015-12-01,Business Finance,0,0,0
1166,How to Make IT Work Successfully in Capital Markets,50,171,8,21,3.0,2014-03-11,Business Finance,1,0,0
1167,Introduction to Day Trading,50,79,5,36,1.0,2014-09-05,Business Finance,1,0,0
1168,Life Coach Business Basics: Finance and Operations,195,397,4,54,3.5,2015-08-27,Business Finance,0,0,0
1169,Learn How to Profit In Forex With Market Rhythms,20,85,5,17,1.5,2014-08-02,Business Finance,0,0,0
1170,Optimizing investment to maximise your return,0,1696,22,11,0.6333333333333333,2016-03-25,Business Finance,0,0,0
1171,Investimento em Ações para Leigos,20,201,46,19,2.5,2016-11-11,Business Finance,1,0,0
1172,Introducción a la Contabilidad,30,1235,31,15,2.5,2015-01-23,Business Finance,1,0,0
1173,Forex Trading: Strategia Correlazione EUR/GBP vs GBP/USD,50,137,39,27,1.5,2016-11-10,Business Finance,0,0,1
1174,Finanzielle Unabhängigkeit-2 Millionär werden mit Investment,20,384,37,18,0.7166666666666667,2016-09-12,Business Finance,0,0,1
1175,カードゲームでカンタンに理解する！経済とお金のキホン,20,103,3,18,1.0,2017-06-27,Business Finance,1,0,0
1176,Contabilidad rápida y eficaz,40,379,60,60,2.0,2016-08-18,Business Finance,0,0,0
1177,Introducción al trading de opciones,100,1573,122,43,5.5,2015-02-17,Business Finance,1,0,0
1178,Aprenda a Investir seu Dinheiro,85,150,28,19,2.5,2017-01-20,Business Finance,0,0,0
1179,Trader sur le Forex avec Ichimoku,90,48,12,18,2.5,2017-05-05,Business Finance,1,0,0
1180,العلوم والمبادئ الأساسية للمهنة الإكتوارية,25,781,7,8,0.65,2016-10-28,Business Finance,1,0,0
1181,トレーディングビュー徹底攻略2017年版,55,952,77,53,3.0,2014-12-10,Business Finance,0,0,0
1182,Kostenrechnung lernen leicht gemacht,40,612,46,72,3.0,2016-06-06,Business Finance,1,0,0
1183,MetaTrader4 Platform Training,0,1819,45,15,1.5,2016-09-21,Business Finance,1,0,0
1184,Professional Bookkeeping & Accounting 1: Sales & Purchases,35,551,22,34,1.5,2015-09-27,Business Finance,0,0,0
1185,Step by step guide to understand how business perform,20,788,3,15,0.6333333333333333,2014-12-14,Business Finance,0,0,1
1186,How to Grow your Small Business and not run out of Cash,25,408,3,16,1.5,2016-04-05,Business Finance,1,0,0
1187,Finance for Non Finance Executives,180,944,44,187,13.0,2014-06-25,Business Finance,1,0,0
1188,"An Introduction: MT4 Email, Sound, Notification Forex Alerts",20,323,30,11,0.6166666666666667,2014-11-01,Business Finance,0,0,1
1189,Innovators and innovation: Travel through time!,50,101,0,31,6.0,2017-05-25,Business Finance,1,0,0
1190,Learn How to Trade The Stock Market,20,984,3,41,4.0,2016-03-02,Business Finance,0,0,0
1191,How To Earn Some Bitcoin Every Time You Use A Search Engine,20,89,23,10,1.0,2016-07-09,Business Finance,0,0,0
1192,Super Fast Accounting - the fastest way to do your books,25,129,21,8,0.5666666666666667,2016-03-18,Business Finance,1,0,0
1193,Financial Modeling and Valuation: Complete Beginner to Pro,50,249,46,28,5.0,2016-06-20,Business Finance,0,0,0
1194,Learn to trade Chart Patterns,20,75,8,23,2.0,2016-08-17,Business Finance,0,0,1
1195,Anatomy and Figure Drawing for Beginners,150,2252,240,111,21.0,2016-06-20,Graphic Design,1,0,0
